itemCollection_AEWA_102_mech,,,
mechdef_rifleman_RFL-3N,MechPart,1,3
mechdef_crusader_CRD-3L,MechPart,1,3
mechdef_thunderbolt_TDR-5S,MechPart,1,3
mechdef_ostsol_OTL-4D,MechPart,1,1
mechdef_warhammer_WHM-6R,MechPart,1,1
mechdef_archer_ARC-2R,MechPart,1,1
mechdef_jagermech_JM6-S,MechPart,1,1
mechdef_catapult_CPLT-C1,MechPart,1,1
mechdef_ostroc_OSR-2C,MechPart,1,1
mechdef_crusader_CRD-3R,MechPart,1,1
mechdef_grasshopper_GHR-5H,MechPart,1,1
mechdef_orion_ON1-K,MechPart,1,1
mechdef_guillotine_GLT-4L,MechPart,1,1
mechdef_warhammer_WHM-6L,MechPart,1,1
