itemCollection_AEWA_100_mech,,,
mechdef_rifleman_RFL-3N,Mech,1,3
mechdef_crusader_CRD-3L,Mech,1,3
mechdef_thunderbolt_TDR-5S,Mech,1,3
mechdef_ostsol_OTL-4D,Mech,1,1
mechdef_warhammer_WHM-6R,Mech,1,1
mechdef_archer_ARC-2R,Mech,1,1
mechdef_jagermech_JM6-S,Mech,1,1
mechdef_catapult_CPLT-C1,Mech,1,1
mechdef_ostroc_OSR-2C,Mech,1,1
mechdef_crusader_CRD-3R,Mech,1,1
mechdef_grasshopper_GHR-5H,Mech,1,1
mechdef_orion_ON1-K,Mech,1,1
mechdef_guillotine_GLT-4L,Mech,1,1
mechdef_warhammer_WHM-6L,Mech,1,1
